X,Y,displacement_x,displacement_y,displacement_z
47.62218045112775,-518.05,1.4550491768477398e-17,-9.280737411669657e-17,-2.074666565996702e-17
50.12844611528817,-518.05,9.830474798579646e-18,-6.145166450085245e-17,-1.3585708341255773e-17
52.634711779448594,-518.05,4.8706560407745775e-18,-2.976570282000962e-17,-6.3357205429324645e-18
55.14097744360902,-518.05,2.2866393664933303e-19,-1.0884588625526569e-18,2.2911807916091564e-19
57.64724310776944,-518.05,7.424600097048126e-19,-4.2895676117486734e-18,-4.2579862652879426e-19
60.15350877192975,-518.05,1.2778984814756848e-18,-7.314305097685264e-18,-7.686769901788141e-19
62.659774436090174,-518.05,1.8778360820359758e-18,-1.014794775628202e-17,-9.578913326801293e-19
65.1660401002506,-518.05,1.5337564942830298e-18,-8.373498283042353e-18,-9.87156478225963e-19
67.67230576441102,-518.05,9.219117337778957e-18,-4.8969217339235555e-17,-5.553995124408287e-18
70.17857142857144,-518.05,3.907795891079977e-19,-2.5583673311650276e-18,-1.7219890742499642e-18
72.68483709273175,-518.05,6.447082437375557e-18,-3.913541482096044e-17,-1.277972480744263e-17
75.19110275689218,-518.05,1.622173664414176e-17,-9.966464733560864e-17,1.465793579888943e-17
77.6973684210526,-518.05,8.02389861277793e-18,-4.738859193845844e-17,6.590849225235781e-18
80.20363408521303,-518.05,2.0300819440564498e-18,-1.2865206747151526e-17,5.131167829508053e-18
82.70989974937345,-518.05,3.95287424774755e-18,-2.6284358329376182e-17,9.573906446669228e-18
85.21616541353376,-518.05,8.866392445085895e-19,-4.20746500721909e-18,-1.7667162272079834e-19
87.72243107769418,-518.05,4.628917888954315e-18,-2.4290464425008197e-17,-8.57274330232126e-19
90.2286967418546,-518.05,7.953166268941954e-18,-4.4773964070351415e-17,-9.83963836224051e-19
92.73496240601503,-518.05,6.402213619442521e-18,-6.01574043002626e-17,-7.555125858534077e-19
95.24122807017545,-518.05,1.4736089487825024e-18,-1.694777059268481e-17,-9.56709721995011e-20
97.74749373433576,-518.05,5.0146516462373496e-18,-5.3059934349407207e-17,3.7244811051989864e-19
100.25375939849619,-518.05,3.2636831079233918e-18,-3.132943548984054e-17,6.652002077243097e-19
102.76002506265661,-518.05,1.1437647796097723e-18,-1.0228274510980136e-17,3.5028766356464262e-19
